"word"
"jellyfish"
"wolf"
"donkey"
"dog"
"chicken"
"flamingo"
"koala"
"chimpanzee"
"platypus"
"snake"
"pig"
"kangaroo"
"meerkat"
"orangutan"
"lion"
"eagle"
"hippopotamus"
"bear"
"hamster"
"panda"
"deer"
"shark"
"seal"
"giraffe"
"tiger"
"spider"
"swan"
"frog"
"dingo"
"gorilla"
"octopus"
"camel"
"squirrel"
"mouse"
"rhinoceros"
"cow"
"llama"
"horse"
"alligator"
"butterfly"
"dolphin"
"worm"
"crocodile"
"goat"
"duck"
"possum"
"cheetah"
"turtle"
"skunk"
"rabbit"
