"word"
"yellow"
"lavender"
"violet"
"purple"
"turquoise"
"pink"
"lilac"
"maroon"
"red"
"indigo"
"orange"
"white"
"black"
"grey"
"blue"
"magenta"
"teal"
"green"
"brown"
"aqua"
