file
rabbit
sheep
snail
bear
beetle
camel
deer
donkey
eagle
frog
giraffe
horse
lion
monkey
mouse
ostrich
peacock
penguin
raccoon
seal
skunk
snake
spider
swan
tiger
turtle
zebra
cloud
moon
anchor
ashtray
balloon
barrel
basket
bell
bicycle
book
bottle
bowl
broom
brush
candle
cannon
chain
chair
chisel
clock
comb
doll
door
dresser
drum
fence
flag
flute
guitar
hammer
harp
house
iron
kettle
kite
knife
ladder
lamp
lock
nail
needle
pencil
piano
pipe
pitcher
pliers
plug
ring
ruler
screw
snowman
spoon
stool
swing
table
thimble
toaster
train
trumpet
violin
watch
well
whistle
window
